class-name,title,description,top-category,category,origin,use-cases,chained-class,parent-class,element
.media-object,Media Object,Class added to a media component image.,Component,media,bootstrap,,-,".media-left, .media-right",img
.modal,Modal,Identifies the content as a modal and brings focus to it,Javascript,modals,bootstrap,,-,-,div
.modal-body,Modal Body,The modal body content class : Header - Body - Footer,Javascript,modals,bootstrap,,-,.modal-content,div
.modal-content,Modal Content,"Styles the modal (border, background-color, etc). Inside this, add the modals header, body and footer, if needed",Javascript,modals,bootstrap,,-,.modal-dialog,div
.modal-dialog,Modal Dialog,Sets the proper width and margin of the modal,Javascript,modals,bootstrap,,-,.modal,div
.modal-footer,Modal Footer,The footer of the modal (often contains an action button and a close button),Javascript,modals,bootstrap,,-,.modal-content,div
.modal-header,Modal Header,The header of the modal (often contains a title and a close button),Javascript,modals,bootstrap,,-,.modal-content,div
.modal-lg,Large Modal ,It makes a model wider or Large modal (wider than default),Javascript,modals,bootstrap,,.modal-dialog,.modal,div
.modal-open,Open Modal ,Javascript adds this class to the body tag to prevent scrolling with the modal is open.,Javascript,modals,bootstrap,,-,-,div
.modal-sm,Small Modal,Makes the modal not as wide or Small modal (less width),Javascript,modals,bootstrap,,.modal-dialog,.modal,div
.modal-title,Modal Title,The title of the modal,Javascript,modals,bootstrap,,-,.modal-header,div
.mt-navbar-height,Navbar Height Margin Top,"Helper Class to adjust margin to of navmenu, body or wrapper as per navbar height while using a Fixed Navbar",Component,navbar-helpers,bootstrap-essentials,,-,-,"body, div"
.mb-navbar-height,Navbar Height Margin Bottom,"Helper Class to adjust margin to of navmenu, body or wrapper as per navbar height while using a Bottom Fixed Navbar",Component,navbar-helpers,bootstrap-essentials,,-,-,"body, div"
.m-breakpoint-size,Responsive Margin,Responsive margin at all side of element,CSS,responsive-utilities-margin,bootstrap-essentials,,-,-,*
.mt-breakpoint-size,Responsive Margin top,Responsive margin at top of element,CSS,responsive-utilities-margin,bootstrap-essentials,,-,-,*
.mr-breakpoint-size,Responsive Margin Right,Responsive margin at right of element,CSS,responsive-utilities-margin,bootstrap-essentials,,-,-,*
.mb-breakpoint-size,Responsive Margin Bottom,Responsive margin at bottom of element,CSS,responsive-utilities-margin,bootstrap-essentials,,-,-,*
.ml-breakpoint-size,Responsive Margin Left,Responsive margin at left of element,CSS,responsive-utilities-margin,bootstrap-essentials,,-,-,*
.nav-tabs,Tabs,"Class added to enable Bootstrap tabs, simply we can say navigation menu.",Component,nav-tabs,bootstrap,,.nav,-,ul
.nav-pills,Pills,Indicates a pill menu,Component,nav-pills,bootstrap,,.nav,-,ul
.navbar-nav,Navbar Navigation List,Used on a <ul> container that contains the list items with links inside a navigation bar,Component,navbar-default,bootstrap,,.nav,-,ul
.nav-justified,Justified Navigation,Centers tabs/pills. Note that on screens smaller than 768px the items are stacked (content will remain centered),Component,nav-justified,bootstrap,,".nav,
.nav-tabs,
.nav-pills",.navbar,ul
.nav-stacked,Stacked Navigation,Vertically stack tabs or pills,Component,nav-pills,bootstrap,,.nav,-,ul
.navbar,Common Navbar Class,Creates a navigation header bar.,Component,navbar,bootstrap,,-,-,nav
.navbar-brand,Brand Text or Logo Class of Navbar,Added to a link or a header element inside the navbar to represent a logo or a header,Component,navbar-brand-image,bootstrap,,-,.navbar,a
.navbar-btn,Navbar Button,Vertically aligns a button inside a navbar,Component,navbar-buttons,bootstrap,,".btn, .btn-color",.navbar,"button, a"
.navbar-collapse,Collapsable Navbar Menu,Collapses the navbar (hidden and replaced with a menu/hamburger icon on mobile phones and small tablets),Component,navbar-default,bootstrap,,.collapse,.navbar,div
.navbar-default,Default Navbar Theme Classs,Creates a default navigation bar (light-grey background color),Component,navbar-default,bootstrap,,".navbar, .footer, .navmenu",-,nav
.navbar-fixed-bottom,Bottom Fixed Navbar,Makes the navbar stay at the bottom of the screen (sticky/fixed),Component,navbar-fixed-bottom,bootstrap,,".navbar, .navbar-default, navbar-inverse ",-,nav
.navbar-fixed-top,Top Fixed Navbar,Makes the navbar stay at the top of the screen (sticky/fixed),Component,navbar-fixed-top,bootstrap,,".navbar, .footer, .navmenu",-,nav
.navbar-form,Navbar Form,Added to form elements inside the navbar to vertically center them (proper padding),Component,navbar-forms,bootstrap,,".navbar-left, .navbar-right, ",.navbar,form
.navbar-header,Navbar Header,Added to a container element that contains the link/element that represent a logo or a header,Component,navbar,bootstrap,,-,.navbar,div
.navbar-inverse,Inverse Navbar Theme,Creates a black navigation bar (instead of light-grey),Component,navbar-inverted,bootstrap,,".navmenu, .footer, .navbar",-,"nav, footer"
.navbar-left,Left Align Navbar Menu,"Aligns nav links, forms, buttons, or text, in the navbar to the left",Component,navbar-component-alignment,bootstrap,,".navbar-text, .nav-btn, .nav-form,  ",.navbar,"form, a, button, p"
.navbar-link,Navbar Link,"Styles an element to look like a link inside the navbar (anchors get proper padding and an underline on hover, while other elements like p or span gets a default hover effect - white color in an inversed navbar and a black color in a default navbar)",Component,navbar-links,bootstrap,,-,.navbar,a
.navbar-nav,Navbar Navigation Menu,Used on a <ul> container that contains the list items with links inside a navigation bar,Component,navbar-default,bootstrap,,-,.navbar,ul
.navbar-right,Right Align Navbar,"Aligns nav links, forms, buttons, or text in the navbar to the right.",Component,navbar-component-alignment,bootstrap,,".navbar-text, .nav-btn, .nav-form,  ",.navbar,ul
.navbar-static-top,Top Static Navbar,"Removes left, top and right borders (rounded corners) from the navbar (default navbar has a gray border and a 4px border-radius by default)",,navbar-static-top,bootstrap,,".navbar, .navbar-default",-,nav
.navbar-text,Navbar Text,Vertical align any elements inside the navbar that are not links (ensures proper padding),Component,navbar-text,bootstrap,,".navbar-right, .navbar-left",.navbar,p
.navbar-toggle,Navbar Toggle Link,Styles the button that should open the navbar on small screens. Often used together with three .icon-bar classes to indicate a toggleable menu icon (hamburger/bars),Component,navbar,bootstrap,,".pull-right, .pull-left, .collapse",.navbar,button
.nav-justified-xs,Justified Navigation for mobile screen,This class justified tabs and pill in small screen. Justified Tabs is common in apps and similar feature can be used this class,Component,navbar,bootstrap-essentials,,".nav,
.nav-tabs,
.nav-pills",.navbar,ul
.navmenu,Common Navmenu Class,Creates a Vertical Navigation Menu of 240px ,Component,navmenu,bootstrap-essentials,,".navbar-default, navmenu-fixed-left, navmenu-fixed-right.",-,nav
.navmenu-fixed-left,Left Fixed Navmenu,Creates a fixed Navigation Menu at left of page. a responsive padding or margin of 240px is required to body or wrapper,Component,navmenu-fixed,bootstrap-essentials,,".navmenu, .navmenu-default",-,nav
.navmenu-fixed-right,Right Fixed Navmenu,Creates a fixed Navigation Menu at Right of page. a responsive padding or margin of 240px is required to body or wrapper,Component,navmenu-fixed,bootstrap-essentials,,".navmenu, .navmenu-default",-,nav
.no-underline,No Underline,"Removes under line for normal, hover and visited states",CSS,type,bootstrap-essentials,,-,-,a
.navbar-slide-nav,Navbar Slide Support Class,Allow Container and container fluid navbar to slide in mobile resolution,Component,navbar-slide,bootstrap-essentials,,,,
.navbar-right-static,Static Navbar Content in Right,Allows to add non responsive navbar item in right.,Component,navbar-right-static,bootstrap-essentials,,-,.navbar,div
.navbar-justified,Justified Navbar,Created a justified Navbar (like Apple Website). Navbar-brand is not required while using this class on .navbar-nav,Component,navbar,bootstrap-essentials,,.navbar-collapse,.navbar,div
.carousel .next,Carousel Next,Used in the carousel control to identity the next control,Javasccript,carousel,bootstrap,,.carousel-control,.carousel,a
.pager .next,Pager Next,Used to align pager buttons to the right side of the page (next button),Javasccript,pagination-pager,bootstrap,,-,.pager,li
.offcanvas,Offcanvas,Offcanvas helps navbar and Navmenu to slide in ,Javasccript,navmenu-offcanvas,bootstrap-essentials,,".navbar-slide, .navmenu-fixed-left, .navmenu-fixed-right, .navmenu",-,nav
.offcanvas-breakpoint,Responsive Offcanvas,Allow Navmenu toggle at any breakpoint,Javasccript,navmenu-offcanvas,bootstrap-essentials,,".navbar-slide, .navmenu-fixed-left, .navmenu-fixed-right, .navmenu",,
.page,Common Page Class,Common page class,CSS,page-layout,bootstrap-essentials,,-,-,main
.page-main,Page Main,Class designed to support sidebar. It is recommended to use this class on <main> tag,CSS,page-layout,bootstrap-essentials,,-,-,main
.page-content,Page Content,Place content of your page in this wrapper,CSS,page-layout,bootstrap-essentials,,-,".page, .page-main",div
.page-sidebar,Page Sidebar,Creates Sidebar of page of width 240px. This sidebar is of fixed width till small size screen.,CSS,page-layout,bootstrap-essentials,,-,".page, .page-main",aside
.page-header,Page Header,Adds a horizontal line under the heading (+ adds some extra space around the element),CSS,type-headings,bootstrap,,-,".page, .page-main",div
.pager,Pager,class added to a ul which contains li with anchors. Good for previous and next buttons.,Component,pagination-pager,bootstrap,,-,-,ul
.pagination,Pagination,Creates a pagination (Useful when you have a web site with lots of pages. Used on <ul> elements),Component,pagination,bootstrap,,".pagination-lg, .pagination-sm",-,ul
.pagination-lg,Large Pagination,Large pagination (each pagination link gets a font-size of 18px. Default is 14px),Component,pagination,bootstrap,,.pagination,-,ul
.pagination-sm,Small Pagination,Small pagination (each pagination link gets a font-size of 12px. Default is 14px),Component,pagination,bootstrap,,.pagination,-,ul
.panel,Common Panel Class,"Change the color of the panel by adding the following: default, primary, info, warning, danger.",Component,panels,bootstrap,,.panel-default,-,div
.panel-body,Panel Body,Panel body can contain text content and has padding of 15px in all sides. Class added to the panel body because there is also a panel heading.,Component,panels,bootstrap,,-,".panel, .panel-collapse",div
.panel-collapse,Collapsable Panel,Collapsible panel (toggle between hiding and showing panel(s)),Component,panels,bootstrap,,-,".panel, .panel-color",div
.panel-danger,Danger Panel,"We can change the color of the panel by adding the panel-danger class , Red color. Indicates danger",Component,panels-alternatives,bootstrap,,.panel,-,div
.panel-info,Info Panel,"We can change the color of the panel by adding the panel-info class , Light-blue panel. Indicates information",Component,panels-alternatives,bootstrap,,.panel,-,div
.panel-success,Success Panel,"We can change the color of the panel by adding the panel-success class , Green panel. Indicates success",Component,panels-alternatives,bootstrap,,.panel,-,div
.panel-warning,Warning Panel,"We can change the color of the panel by adding the panel-warning class , Yellow panel. Indicates warning",Component,panels-alternatives,bootstrap,,.panel,-,div
.panel-footer,Panel Footer,Creates a panel footer (light background color),Component,panels-footer,bootstrap,,-,.panel,div
.panel-group,Panel Group,Used to group many panels together. This removes the bottom margin below each panel,Component,panels,bootstrap,,-,-,div
.panel-heading,Panel Heading,Creates a panel header (light background color),Component,panels-heading,bootstrap,,-,.panel,"div, h1 to h6"
.panel-title,Panel Title,Used inside a .panel-heading to adjust the styling of the text (removes margins and adds a font-size of 16px),Component,panels-heading,bootstrap,,-,.panel,"div, h1 to h6"
.pre-scrollable,Scrollable Pre tag,Makes a <pre> element scrollable (max-height of 350px and provide a y-axis scrollbar),CSS,code-block,bootstrap,,-,-,pre
.prev,Carousel Previous,"Used in carousels to indicate a ""previous"" link",Javasccript,carousel,bootstrap,,.carousel-control,.carousel,a
.previous,Pager Previous,Used to align pager buttons to the left side of the page (previous button),Component,pagination-pager,bootstrap,,-,.pager,a
.progress,Common Progress Class,"Container for progress bars, with % indication.",Component,progress-stacked,bootstrap,,-,-,div
.progress-bar,Progress bar,Creates a progress bar,Component,progress,bootstrap,,"progress-bar-color, progress-bar-striped",.progress,div
.progress-bar-danger,Danger Progress Bar,Red progress bar. Indicates danger,Component,progress-alternatives,bootstrap,,".progress-bar, .progress-bar-striped",.progress,div
.progress-bar-info,Info Progress Bar,Light-blue progress bar. Indicates information,Component,progress-alternatives,bootstrap,,".progress-bar, .progress-bar-striped",.progress,div
.progress-bar-striped,Striped Progress Bar,Creates a striped progress bar,Component,progress-alternatives,bootstrap,,".progress-bar, progress-bar-color",.progress,div
.progress-bar-success,Success Progress Bar,Green progress bar. Indicates success,Component,progress-alternatives,bootstrap,,".progress-bar, .progress-bar-striped",.progress,div
.progress-bar-warning,Warning Progress Bar,Yellow progress bar. Indicates warning,Component,progress-alternatives,bootstrap,,".progress-bar, .progress-bar-striped",.progress,div
.pull-left,Float Left,"Float an element to the left, pulling an element to left.",CSS,helpers,bootstrap,,-,-,div
.pull-right,Float Right,"Float an element to the right, its pulling an element to right side.",CSS,helpers,bootstrap,,-,-,div
.pt-navbar-height,Navbar Height Padding Top,"Helper Class to adjust padding top of navmenu, body or wrapper as per navbar height while using a Fixed Navbar",Component,navbar-helpers,bootstrap-essentials,,-,-,"body, div"
.pt-navbar-height,Navbar Height padding Bottom,"Helper Class to adjust padding bottom of navmenu, body or wrapper as per navbar height while using a Bottom Fixed Navbar",Component,navbar-helpers,bootstrap-essentials,,-,-,"body, div"
.p-breakpoint-size,Responsive Padding,Responsive padding at all side of element,CSS,responsive-utilities-padding,bootstrap-essentials,,,,
.pt-breakpoint-size,Responsive Padding Top,Responsive padding at top of element,CSS,responsive-utilities-padding,bootstrap-essentials,,-,-,div
.pr-breakpoint-size,Responsive Padding Right,Responsive padding at right of element,CSS,responsive-utilities-padding,bootstrap-essentials,,-,-,div
.pb-breakpoint-size,Responsive Padding Bottom,Responsive padding at bottom of element,CSS,responsive-utilities-padding,bootstrap-essentials,,-,-,div
.pl-breakpoint-size,Responsive Padding Left,Responsive padding at left of element,CSS,responsive-utilities-padding,bootstrap-essentials,,-,-,div
.carousel .right,Carousel Right,Used to identify the right carousel control,Javasccript,carousel,bootstrap,,.carousel-control,.carousel,a
.row,Grid Row,Container for responsive columns,CSS,grid,bootstrap,,".row-split, .row-flex, .gutter-*",".container, container-*",div
.row-flex,Flex Row,Converts a normal grid row to flex row,CSS,containers-flex,bootstrap-essentials,,.row,".container, .container-*",div
.row-split,Border split or divider for grid,Divides grid columns by using borders to the right of column. THe borders are responsive and only work when column size is below 12,CSS,borders-row-split,bootstrap-essentials,"https://codepen.io/poojalm/pen/awOzRY , https://codepen.io/poojalm/pen/pwJJVV?editors=1000",.row,".container, .container-*",div
.separated,Separated List,Used for inline list. The separator is |,CSS,helpers,,,.list-inline,-,ul
.show,Show,Shows an element (display:block),CSS,helpers,bootstrap,,-,-,*
.small,Small Text,"Creates a lighter, secondary text in any heading",CSS,type,bootstrap,,-,-,"p, span, label"
.sr-only,Screen Reader Only,Hides an element on all devices except for screen readers,CSS,helpers,bootstrap,,-,-,"p, span, label"
.sr-only-focusable,Focusable Screen Reader Only,Hides an element on all devices except for screen readers,CSS,helpers,bootstrap,,-,-,"p, span, label"
.success,Table Success,Adds a green background color to a table row (<tr> or table cell (<td>). Indicates success or a positive action,CSS,tables-contextual-classes,bootstrap,,-,.table,"td, tr"
.tab-content,Tab Content,Used together with .tab-pane to creates toggleable/dynamic tabs/pills,Component,tabs,bootstrap,,-,.nav-tabs,div
.tab-pane,Tab Pane,Used together with .tab-content to creates toggleable/dynamic tabs/pills,Component,tabs,bootstrap,,.active,.tab-content,div
.tabs-left,Left Sided Tabs,Tabs on Left side of the Content,Component,tabs,bootstrap-essentials,,-,.tabs-container,div
.tabs-right,Right Sided Tabs,Tabs on Right side of the content,Component,tabs,bootstrap-essentials,,-,.tabs-container,div
.table,Table,"Adds basic styling to a table (padding, bottom borders, etc)",CSS,tables,bootstrap,,".table-hover, .table-striped, .table-border, .table-condensed",.table-responsive,table
.table-bordered,Bordered Table,Adds borders on all sides of the table and cells,CSS,tables-bordered,bootstrap,,.table,-,table
.table-condensed,Condensed Table,Makes a table more compact by cutting cell padding in half,CSS,tables-condensed,bootstrap,,.table,-,table
.table-striped,Striped Table,add zebra-striping to any table row within the <tbody>,CSS,tables-striped,bootstrap,,.table,-,table
.table-hover,Table with Row Hover,Creates a hoverable table (adds a grey background color on table rows on hover),CSS,tables-hover-rows,bootstrap,,.table,-,table
.table-responsive,Responsive Table,Makes a table responsive (adds a horizontal scrollbar when needed),CSS,tables-responsive,bootstrap,,-,-,div
.text-capitalize,Capitalize Text,"Indicates capitalized text, this class will allow us to make the text in capital letters.",CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div"
.text-center,Center Align Text,"It aligns our text to center, or Center-aligns text",CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div"
.text-danger,Danger Color Text,text-danger class applys red color to text which Indicates danger.,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div"
.text-hide,Hide Text,Hides text (helps replace an elements text content with a background image),CSS,helpers,bootstrap,,-,-,"h*, p, div, span"
.text-info,Info Color Text,Light-blue text color. Indicates information,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, span, h*"
.text-justify,Justified Text,Indicates justified text,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, h*"
.text-left,Left Align Text,Aligns the text to the left,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, h*"
.text-lowercase,Lowercase Text,Changes text to lowercase,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, h*"
.text-muted,Muted Color Text,text-muted class turns the text to Grey color.,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, span, h*"
.text-nowrap,Nowrap Text,Prevents the text from wrapping,CSS,helpers,bootstrap,,-,-,"p, div, h*"
.text-primary,Primary Color Text,text-primary class turns the text to blue color.,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, span, h*"
.text-right,Right Align Text,Aligns text to the right,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, h*"
.text-success,Success Color Text,Green text color. Indicates success,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, span, h*"
.text-uppercase,Uppercase Text,Makes text uppercase,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, h*"
.text-warning,Warning Color Text,Yellow/orange text color. Indicates warning,CSS,helpers,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,"p, div, span, h*"
.text-breakpoint-center,Responsive Text Center,Supports Center Text Alignment as per breakpoint,CSS,helpers,bootstrap-essentials,,-,-,"p, div, span, h*"
.text-breakpoint-left,Responsive Text Left,Supports Left Text Alignment as per breakpoint,CSS,helpers,bootstrap-essentials,,-,-,"p, div, span, h*"
.text-breakpoint-right,Responsive Text Right,Supports Right Text Alignment as per breakpoint,CSS,helpers,bootstrap-essentials,,-,-,"p, div, span, h*"
.thumbnail,Thumbnail,Adds a border around an element (often images or videos) to make it look like a thumbnail,Component,images,bootstrap,,-,-,"a, div"
.vertical-middle,Vertical Middle,"Utility class to vertical middle align a table-cell, inline block and inline element",CSS,helpers,bootstrap-essentials,,.row,".container-table, .table","div, tr"
.vertical-top,Vertical Top,"Utility class to vertical top align a table-cell, inline block and inline element",CSS,helpers,bootstrap-essentials,,.row,".container-table, .table","div, tr"
.vertical-bottom,Vertical Bottom,"Utility class to vertical bottom align a table-cell, inline block and inline element",CSS,helpers,bootstrap-essentials,,.row,".container-table, .table","div, tr"
.visible-breakpoint,Responsive Visibility Classes,Deprecated as of v3.2.0. Used to show and/or hide content by device. Note: Use .hidden-* instead,CSS,responsive-utilities-classes,bootstrap,,-,-,*
.visible-print-block,Print Visible,Displays the element (display:block) in print (pre)view,CSS,responsive-utilities-print,bootstrap,,-,-,*
.visible-print-inline,Print Visible Inline,Displays the element (display:inline) in print (pre)view,CSS,responsive-utilities-print,bootstrap,,-,-,*
.visible-print-inline-block,Print Visible Inline Block,Displays the element (display:inline-block) in print (pre)view,CSS,responsive-utilities-print,bootstrap,,-,-,*
.hidden-print,Hidden in Print,Hides the element (display:none) in print (pre)view,CSS,responsive-utilities-print,bootstrap,,-,-,*
.warning,Table Warning Row,Adds a yellow background color to the table row (<tr> or table cell (<td>). Indicates a warning,CSS,tables-contextual-classes,bootstrap,,-,.table,"td, tr"
.well,Well,Wells are good for insetting some content. The default styling adds a border box and inner padding.,CSS,wells,bootstrap,,".well-lg, .well-sm",-,div
.well-lg,Large Well,Wells are good for insetting some content. The default styling adds a border box and inner padding. This class doubles the padding.,CSS,wells,bootstrap,,.well,-,div
.well-sm,Small Well,Wells are good for insetting some content. The default styling adds a border box and inner padding. This class decreases the padding.,CSS,wells,bootstrap,,.well,-,div
blockquote,Blockquote,quoting blocks of content from another source within your document.,CSS,type-blockquotes,bootstrap,https://codepen.io/poojalm/pen/yXNYqm?editors=1000,-,-,blockquote
